Vernier Format 2
1utež_2.cmbl 26/10/2023 11:58:14 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		rad	rad/s	rad/s²

0	1	0	 	 
0,0456296	0	 	 	 
1,0672264	1	0,7854	0,963763122426	0,426969947077
1,0969	0	 	 	 
1,7720996	1	1,5708	1,31554885984	0,571183302095
1,7962396	0	 	 	 
2,3069996	1	2,3562	1,6025740531	0,502008671198
2,3529128	0	 	 	 
2,764328	1	3,1416	1,87860802162	0,705149985565
2,777838	0	 	 	 
3,1539176	1	3,927	2,13052167332	0,588075766371
3,166934	0	 	 	 
3,5055	1	4,7124	2,31229553329	0,445956995053
3,5164	0	 	 	 
3,8347112	1	5,4978	2,45184974356	0,401852619342
3,8447	0	 	 	 
4,1470464	1	6,2832	2,71288929164	1,26968198887
4,1564996	0	 	 	 
4,4192184	1	7,0686	2,71470929343	-1,25630807979
4,4559976	0	 	 	 
4,731028	1	7,854	2,74107626827	1,42543035721
4,7422	0	 	 	 
4,9989004	1	8,6394	2,96288679438	0,230660573482
5,023906	0	 	 	 
5,2612996	1	9,4248	3,10837943587	0,878280623667
5,2694276	0	 	 	 
5,5055436	1	10,2102	3,29084169682	0,615817580988
5,514002	0	 	 	 
5,739102	1	10,9956	3,41045438741	0,408446077207
5,7465028	0	 	 	 
5,9663028	1	11,781	3,50491830164	0,423099535569
5,9732484	0	 	 	 
6,1874364	1	12,5664	3,59469022431	0,38882522545
6,1942044	0	 	 	 
6,4034028	1	13,3518	3,67907185772	0,392607751302
6,411102	0	 	 	 
6,6145028	1	14,1372	3,79915858232	0,74511583555
6,6228052	0	 	 	 
6,8172036	1	14,9226	3,86797514756	-0,0661193516147
6,8364036	0	 	 	 
7,0206092	1	15,708	3,96261086608	0,996631771294
7,027026	0	 	 	 
7,2141036	1	16,4934	4,122150107	0,65240035492
7,2208044	0	 	 	 
7,401846	1	17,2788	4,21722057275	0,360375296733
7,4079044	0	 	 	 
7,5866236	1	18,0642	4,28915004498	0,418176564854
7,592338	0	 	 	 
7,7681308	1	18,8496	4,36416581287	0,40841067672
7,773706	0	 	 	 
7,946606	1	19,635	4,43433661289	0,377926024679
7,953006	0	 	 	 
8,1224068	1	20,4204	4,54191792861	0,845974159174
8,1293452	0	 	 	 
8,2926308	1	21,2058	4,58472655809	-0,343005958749
8,3088244	0	 	 	 
8,4650508	1	21,9912	4,65537475101	1,16249549501
8,4705148	0	 	 	 
8,6303476	1	22,7766	4,8067107016	0,668585936609
8,6361348	0	 	 	 
8,7919284	1	23,562	4,88764898938	0,333244575179
8,7971204	0	 	 	 
8,9517484	1	24,3474	4,94814568906	0,42381586375
8,9567092	0	 	 	 
9,10941	1	25,1328	5,01565505146	0,43256720491
9,1142284	0	 	 	 
9,2649564	1	25,9182	5,07661008249	0,351186466346
9,2705284	0	 	 	 
9,4188468	1	26,7036	5,17666807076	0,949193391886
9,4250092	0	 	 	 
9,5685124	1	27,489	5,20373419715	-0,587505383461
9,5828124	0	 	 	 
9,7207508	1	28,2744	5,26067277499	1,33552398901
9,7256124	0	 	 	 
9,8673204	1	29,0598	5,4107964316	0,712972515132
9,8725116	0	 	 	 
10,0111124	1	29,8452	5,48471532667	0,315163891139
10,0157364	0	 	 	 
10,153726	1	30,6306	5,53718749494	0,420700967121
10,1581524	0	 	 	 
10,2948108	1	31,416	5,60031504676	0,474187097564
10,2991132	0	 	 	 
10,43423	1	32,2014	5,65658767275	0,33305646715
10,4392324	0	 	 	 
10,572514	1	32,9868	5,75074551763	1,02874742732
10,5780148	0	 	 	 
10,7074588	1	33,7722	5,7593592488	-0,901084395066
10,7203548	0	 	 	 
10,8453148	1	34,5576	5,80080618526	1,50239208499
10,8496508	0	 	 	 
10,9784156	1	35,343	5,94846318135	0,716332311753
10,9831164	0	 	 	 
11,1094164	1	36,1284	6,01619188433	0,31768737341
11,1136172	0	 	 	 
11,2395172	1	36,9138	6,06745673998	0,470391649175
11,243522	0	 	 	 
11,3683188	1	37,6992	6,12661540332	0,448209724405
11,372318	0	 	 	 
11,495918	1	38,4846	6,17866864174	0,367676870797
11,5005188	0	 	 	 
11,6225556	1	39,27	6,27217721851	1,10911322576
11,627618	0	 	 	 
11,7464188	1	40,0554	6,27261784084	-1,10199856493
11,7582188	0	 	 	 
11,873038	1	40,8408	6,30607832664	1,63052008141
11,8771196	0	 	 	 
11,9956412	1	41,6262	6,45467865339	0,793565533822
11,9999564	0	 	 	 
12,1164236	1	42,4116	6,51835079768	0,260762651216
12,1203212	0	 	 	 
12,2366252	1	43,197	6,5616339505	0,459413333498
12,2403628	0	 	 	 
12,3558236	1	43,9824	6,61945638475	0,510774760413
12,3595244	0	 	 	 
12,4739356	1	44,7678	6,66906636166	0,329274970603
12,4782252	0	 	 	 
12,5913628	1	45,5532	6,75996184624	1,21884138709
12,596046	0	 	 	 
12,7063548	1	46,3386	6,74749987568	-1,43558638777
12,7173628	0	 	 	 
12,8242316	1	47,124	6,77095357047	1,83352211036
12,8279612	0	 	 	 
12,9384604	1	47,9094	6,92049451831	0,784748375487
12,9425276	0	 	 	 
13,0512284	1	48,6948	6,97895926687	0,252154798425
13,0548348	0	 	 	 
13,1635388	1	49,4802	7,01895557742	0,460091094169
13,1670332	0	 	 	 
13,2750284	1	50,2656	7,07304802662	0,510267561754
13,278462	0	 	 	 
13,3856284	1	51,051	7,11912032824	0,32286628303
13,3896284	0	 	 	 
13,4956764	1	51,8364	7,2095322543	1,32026991326
13,5000652	0	 	 	 
13,60355	1	52,6218	7,18942361923	-1,69308837982
13,6139292	0	 	 	 
13,7142364	1	53,4072	7,20547316291	1,98308866301
13,7177516	0	 	 	 
13,8216492	1	54,1926	7,35695562935	0,837477720868
13,8254332	0	 	 	 
13,9277644	1	54,978	7,41006942024	0,163581333717
13,9312316	0	 	 	 
14,0336316	1	55,7634	7,44587549055	0,512852355145
14,0369324	0	 	 	 
14,1387324	1	56,5488	7,49799119537	0,478875677709
14,1419708	0	 	 	 
14,2431324	1	57,3342	7,54110422761	0,347044480164
14,2468348	0	 	 	 
14,3470332	1	58,1196	7,63015537748	1,36711267481
14,3511628	0	 	 	 
14,4490348	1	58,905	7,6014769561	-1,92942584195
14,4587772	0	 	 	 
14,5537484	1	59,6904	7,60968140237	2,08612843393
14,5571372	0	 	 	 
14,6555388	1	60,4758	7,76033078716	0,87386356506
14,6591372	0	 	 	 
14,7561756	1	61,2612	7,81108210665	0,134740037037
14,759438	0	 	 	 
14,856638	1	62,0466	7,84292851727	0,49925657507
14,8597596	0	 	 	 
14,956462	1	62,832	7,89363473315	0,516655748148
14,9595436	0	 	 	 
15,055638	1	63,6174	7,93338347999	0,284924207647
15,059238	0	 	 	 
15,154462	1	64,4028	8,0195518625	1,45895141977
15,1584396	0	 	 	 
15,2515404	1	65,1882	7,97338764833	-2,41002218664
15,2608396	0	 	 	 
15,3515548	1	65,9736	7,93499935018	1,64236676606
15,3547612	0	 	 	 
15,4495404	1	66,759	8,03544042816	0,407752393891
