Vernier Format 2
1utež_2.cmbl 26/10/2023 12:10:52 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		rad	rad/s	rad/s²

0	1	0	 	 
0,0606024	0	 	 	 
1,0621464	1	0,7854	1,04731607906	0,579712912276
1,092246	0	 	 	 
1,6996016	1	1,5708	1,38020203244	0,46470857297
1,7521004	0	 	 	 
2,2226008	1	2,3562	1,64847631626	0,561198479339
2,238	0	 	 	 
2,6656312	1	3,1416	1,88155632462	0,49100926246
2,6803072	0	 	 	 
3,0625004	1	3,927	2,06823448381	0,449744815658
3,0747104	0	 	 	 
3,4277404	1	4,7124	2,23495823725	0,463209698835
3,4387004	0	 	 	 
3,767214	1	5,4978	2,4009662288	0,514822121865
3,7773	0	 	 	 
4,0836004	1	6,2832	2,565453522	0,524965259645
4,0946004	0	 	 	 
4,3807132	1	7,0686	2,7444857687	0,680181382986
4,3922404	0	 	 	 
4,6574004	1	7,854	2,8627095048	0,174384611431
4,6830008	0	 	 	 
4,9295008	1	8,6394	2,98379311312	0,715607526139
4,9380116	0	 	 	 
5,1849008	1	9,4248	3,13908643363	0,500471726133
5,1937	0	 	 	 
5,4303004	1	10,2102	3,24736287545	0,381978300829
5,4381004	0	 	 	 
5,6688124	1	10,9956	3,3459040848	0,444321502524
5,6761284	0	 	 	 
5,8999984	1	11,781	3,45788991138	0,524472685519
5,9069248	0	 	 	 
6,123348	1	12,5664	3,57144181682	0,492335989727
6,1312456	0	 	 	 
6,3400232	1	13,3518	3,70495156208	0,740013123214
6,3486024	0	 	 	 
6,5477024	1	14,1372	3,77149956937	-0,0991400141956
6,5671456	0	 	 	 
6,7565216	1	14,9226	3,85109096121	0,861439571301
6,7631208	0	 	 	 
6,9560128	1	15,708	3,99112286826	0,542450996836
6,96294	0	 	 	 
7,150236	1	16,4934	4,07746321659	0,346632782274
7,1564488	0	 	 	 
7,341304	1	17,2788	4,15806801195	0,497096103397
7,3471416	0	 	 	 
7,528104	1	18,0642	4,25456735182	0,536087406982
7,533804	0	 	 	 
7,7106072	1	18,8496	4,34853867831	0,493717292163
7,7171048	0	 	 	 
7,8894048	1	19,635	4,47119843899	0,878334241933
7,8964384	0	 	 	 
8,062132	1	20,4204	4,51805442779	-0,335790985343
8,0784056	0	 	 	 
8,2371056	1	21,2058	4,58083157704	1,05335236894
8,2426112	0	 	 	 
8,4053064	1	21,9912	4,71955466345	0,596141407654
8,4112056	0	 	 	 
8,5700072	1	22,7766	4,79514986028	0,321828594052
8,5752496	0	 	 	 
8,7329072	1	23,562	4,86219489935	0,501314918166
8,7379112	0	 	 	 
8,893116	1	24,3474	4,94747463372	0,563292448844
8,8980072	0	 	 	 
9,0504544	1	25,1328	5,02997668894	0,485428717979
9,0561064	0	 	 	 
9,2054392	1	25,9182	5,14118656121	0,949678109007
9,211608	0	 	 	 
9,3561088	1	26,7036	5,16766074665	-0,598257710567
9,3703376	0	 	 	 
9,5094536	1	27,489	5,21302350549	1,18990162468
9,5143264	0	 	 	 
9,6576096	1	28,2744	5,34808969734	0,633395330573
9,6627472	0	 	 	 
9,8032104	1	29,0598	5,41476495171	0,282468515943
9,8078552	0	 	 	 
9,9477136	1	29,8452	5,46781020657	0,451705604165
9,9522112	0	 	 	 
10,090512	1	30,6306	5,54137916617	0,578683526246
10,0948448	0	 	 	 
10,231212	1	31,416	5,6123266443	0,429809411014
10,2362224	0	 	 	 
10,370412	1	32,2014	5,71154974751	0,995809887964
10,3759432	0	 	 	 
10,5063128	1	32,9868	5,71949544374	-0,878876121232
10,519152	0	 	 	 
10,6451128	1	33,7722	5,7503585505	1,32358947521
10,6495128	0	 	 	 
10,7796136	1	34,5576	5,88112296146	0,620851166944
10,784316	0	 	 	 
10,9122312	1	35,343	5,9388441303	0,249639157717
10,9165144	0	 	 	 
11,0441136	1	36,1284	5,9869957661	0,480581641995
11,0482136	0	 	 	 
11,1746144	1	36,9138	6,05794782891	0,606799627889
11,178616	0	 	 	 
11,3034312	1	37,6992	6,12419639906	0,421770716114
11,3080336	0	 	 	 
11,4311152	1	38,4846	6,22205947586	1,11112419328
11,436216	0	 	 	 
11,555952	1	39,27	6,22187116533	-1,11414110065
11,567816	0	 	 	 
11,683644	1	40,0554	6,2440891582	1,46213459854
11,6877168	0	 	 	 
11,8076272	1	40,8408	6,37623732989	0,66957633788
11,8120144	0	 	 	 
11,9300168	1	41,6262	6,43278139323	0,254424775682
11,9339168	0	 	 	 
12,0518168	1	42,4116	6,48049383997	0,529030835806
12,0555504	0	 	 	 
12,1724176	1	43,197	6,54815834943	0,593092889029
12,1761176	0	 	 	 
12,2917152	1	43,9824	6,61107149918	0,461633270623
12,2959336	0	 	 	 
12,4100272	1	44,7678	6,70542560977	1,1333716416
12,4147504	0	 	 	 
12,5260192	1	45,5532	6,69096185654	-1,3827638966
12,5370192	0	 	 	 
12,6448608	1	46,3386	6,70399520109	1,60210366561
12,6486512	0	 	 	 
12,7604192	1	47,124	6,83678611981	0,69614412457
12,764464	0	 	 	 
12,8746336	1	47,9094	6,88611760603	0,167695920484
12,8783184	0	 	 	 
12,9885312	1	48,6948	6,92351064435	0,488912090893
12,9921168	0	 	 	 
13,10152	1	49,4802	6,98691274604	0,633360235135
13,1049648	0	 	 	 
13,2133632	1	50,2656	7,04346584449	0,377932332392
13,2173664	0	 	 	 
13,3245392	1	51,051	7,13299307594	1,23261727282
13,3290192	0	 	 	 
13,4336192	1	51,8364	7,10989364251	-1,65614923904
13,4440192	0	 	 	 
13,545544	1	52,6218	7,11602850667	1,76577399002
13,5491184	0	 	 	 
13,6544432	1	53,4072	7,25213827107	0,733964564617
13,6582592	0	 	 	 
13,7621552	1	54,1926	7,29894539096	0,1351515949
13,7656272	0	 	 	 
13,8696528	1	54,978	7,33136914412	0,468094489887
13,8730176	0	 	 	 
13,9764176	1	55,7634	7,39311335084	0,688545277448
13,9796432	0	 	 	 
14,0821312	1	56,5488	7,44751658361	0,340711748543
14,0859184	0	 	 	 
14,187336	1	57,3342	7,53432767427	1,30961391457
14,1915392	0	 	 	 
14,2906512	1	58,1196	7,50123514037	-1,95022698803
14,3005168	0	 	 	 
14,3968192	1	58,905	7,50117468505	1,94908812657
14,4002192	0	 	 	 
14,500136	1	59,6904	7,64046400791	0,747265668026
14,5037584	0	 	 	 
14,6024192	1	60,4758	7,68439863856	0,111812472883
14,60572	0	 	 	 
14,7045504	1	61,2612	7,71529103019	0,493142558106
14,7077232	0	 	 	 
14,8060192	1	62,0466	9,37357199959	32,1923917027
14,80912	0	 	 	 
14,8803264	1	62,832	8,95799227623	-43,3778413862
14,9101424	0	 	 	 
15,0066208	1	63,6174	7,20960193393	15,690305877
15,0106224	0	 	 	 
15,1050224	1	64,4028	7,85795532745	-2,5126056461
15,1143376	0	 	 	 
15,2066224	1	65,1882	7,80463697203	1,46303172048
15,2098624	0	 	 	 
15,3063232	1	65,9736	7,88950707732	0,239464253239
15,3098272	0	 	 	 
15,4057232	1	66,759	7,88077677762	-0,415124206974
