Vernier Format 2
Untitled.cmbl 26/10/2023 11:33:00 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		rad	rad/s	rad/s²

0,0539848	1	0	 	 
0,0563844	0	 	 	 
0,122888	1	0,7854	11,6536802603	7,40402435787
0,1251844	0	 	 	 
0,1888988	1	1,5708	11,4465506927	-13,6796510011
0,1953848	0	 	 	 
0,260584	1	2,3562	11,1649496712	5,823049596
0,2632972	0	 	 	 
0,329684	1	3,1416	11,3661360347	0
0,3321076	0	 	 	 
0,398784	1	3,927	11,3796722203	0,391785399683
0,4009	0	 	 	 
0,46772	1	4,7124	11,3826282811	-0,306022929324
0,469884	0	 	 	 
0,536784	1	5,4978	11,4094404238	1,08246630612
0,5389924	0	 	 	 
0,6053984	1	6,2832	11,383319682	-1,84384414669
0,607884	0	 	 	 
0,674784	1	7,0686	11,5853845735	7,66824839136
0,6770048	0	 	 	 
0,74112	1	7,854	11,3886597018	-13,5994131195
0,7476816	0	 	 	 
0,813184	1	8,6394	11,1033237063	5,68045232047
0,815984	0	 	 	 
0,882684	1	9,4248	11,3006543855	-0,00187162557737
0,8851256	0	 	 	 
0,9521848	1	10,2102	11,3170178274	0,472756620906
0,9542936	0	 	 	 
1,0214844	1	10,9956	11,324164907	-0,266490506431
1,023684	0	 	 	 
1,0908972	1	11,781	11,3482327831	0,959961338149
1,093184	0	 	 	 
1,1599048	1	12,5664	11,3239540781	-1,66361441383
1,162384	0	 	 	 
1,2296192	1	13,3518	11,5201661215	7,29263921734
1,2318936	0	 	 	 
1,2963844	1	14,1372	11,324375093	-13,1577015099
1,3028996	0	 	 	 
1,3687844	1	14,9226	11,050663807	5,59661626205
1,371584	0	 	 	 
1,438622	1	15,708	11,243741337	-0,0672873618182
1,4411216	0	 	 	 
1,5084888	1	16,4934	11,2538209328	0,355824858392
1,510684	0	 	 	 
1,5782016	1	17,2788	11,2596094075	-0,189758519794
1,580384	0	 	 	 
1,6479964	1	18,0642	11,2861029172	0,948941429115
1,6502844	0	 	 	 
1,717384	1	18,8496	11,2617719063	-1,65024860366
1,719884	0	 	 	 
1,7874844	1	19,635	11,4596110253	7,29469910344
1,7897844	0	 	 	 
1,8545876	1	20,4204	11,2630213284	-13,1540231556
1,861184	0	 	 	 
1,9274176	1	21,2058	10,9842639895	5,49900904388
1,9302172	0	 	 	 
1,997684	1	21,9912	11,179785683	0,0661456667255
2,0001844	0	 	 	 
2,0679212	1	22,7766	11,1923896864	0,292752564464
2,0701012	0	 	 	 
2,1380296	1	23,562	11,1964304528	-0,177480603989
2,1402236	0	 	 	 
2,208216	1	24,3474	11,2232071711	0,940497893773
2,210484	0	 	 	 
2,277992	1	25,1328	11,1990212011	-1,63374399721
2,280484	0	 	 	 
2,3484856	1	25,9182	11,3939278113	7,16351153001
2,350786	0	 	 	 
2,4159848	1	26,7036	11,2000181404	-12,9090513567
2,4225848	0	 	 	 
2,4891988	1	27,489	10,9271158761	5,45413114273
2,4920148	0	 	 	 
2,55983	1	28,2744	11,1174661304	-0,0641546365262
2,562384	0	 	 	 
2,63049	1	29,0598	11,1280802583	0,364582824859
2,632684	0	 	 	 
2,7009868	1	29,8452	11,132983332	-0,225482222319
2,703192	0	 	 	 
2,7715844	1	30,6306	11,1616574008	1,03780640321
2,773884	0	 	 	 
2,8417216	1	31,416	11,1394064678	-1,6723037322
2,844216	0	 	 	 
2,9126052	1	32,2014	11,3306905336	7,06943553095
2,914918	0	 	 	 
2,980484	1	32,9868	11,1382705268	-12,7389525748
2,9871104	0	 	 	 
3,0540964	1	33,7722	10,8674564749	5,38111471357
3,056928	0	 	 	 
3,1251184	1	34,5576	11,0551539741	-0,0954990119075
3,127684	0	 	 	 
3,196184	1	35,343	11,0646823928	0,363657409313
3,198384	0	 	 	 
3,267084	1	36,1284	11,0697784371	-0,219904397026
3,2692916	0	 	 	 
3,338084	1	36,9138	11,0991743038	1,04795698057
3,3403844	0	 	 	 
3,4086112	1	37,6992	11,0767797193	-1,68301932448
3,41112	0	 	 	 
3,4799024	1	38,4846	11,2647772073	6,95709208578
3,4822284	0	 	 	 
3,5481844	1	39,27	11,0743968447	-12,5333892837
3,554884	0	 	 	 
3,6222052	1	40,0554	10,8024984533	5,1868490843
3,625084	0	 	 	 
3,693684	1	40,8408	10,992459982	0,128336079451
3,696192	0	 	 	 
3,7651032	1	41,6262	11,0058406573	0,246371991747
3,7673204	0	 	 	 
3,8364084	1	42,4116	11,0090102958	-0,157468559197
3,838684	0	 	 	 
3,9077864	1	43,197	11,0329468436	0,828166750917
3,9100904	0	 	 	 
3,978784	1	43,9824	11,0084270492	-1,51888853123
3,9812848	0	 	 	 
4,050484	1	44,7678	11,2068762599	7,05443136745
4,052784	0	 	 	 
4,1190848	1	45,5532	11,0142501196	-12,6702883338
4,1257948	0	 	 	 
4,1935848	1	46,3386	10,7414756475	5,34748371316
4,1964212	0	 	 	 
4,2654188	1	47,124	10,9286467817	-0,136270800279
4,2679904	0	 	 	 
4,3373172	1	47,9094	10,9337726609	0,278857540278
4,339584	0	 	 	 
4,409084	1	48,6948	10,9411885147	-0,0721922377902
4,411302	0	 	 	 
4,4808848	1	49,4802	10,9692294056	0,853266848756
4,4831996	0	 	 	 
4,5522868	1	50,2656	10,9436573963	-1,56954956565
4,5548252	0	 	 	 
4,6244276	1	51,051	11,1351452696	6,87827564674
4,626784	0	 	 	 
4,693488	1	51,8364	10,9411494643	-12,4964245511
4,700284	0	 	 	 
4,768484	1	52,6218	10,6756280956	5,41547706925
4,7713224	0	 	 	 
4,8407296	1	53,4072	10,8630828394	-0,226102386477
4,8433176	0	 	 	 
4,913084	1	54,1926	10,8722990154	0,480853336019
4,9152928	0	 	 	 
4,9852076	1	54,978	10,8781407046	-0,318862278235
4,987484	0	 	 	 
5,057484	1	55,7634	10,9027566624	1,00002398124
5,059784	0	 	 	 
5,1292844	1	56,5488	10,8847460889	-1,50170847152
5,1318052	0	 	 	 
5,2018032	1	57,3342	11,0721003466	6,66876191694
5,204184	0	 	 	 
5,2712844	1	58,1196	10,8782363603	-12,2490911657
5,2780848	0	 	 	 
5,3466844	1	58,905	10,6134305928	5,22506550181
5,3495848	0	 	 	 
5,419384	1	59,6904	10,8023504635	-0,0277914934129
5,421984	0	 	 	 
5,4920972	1	60,4758	10,8104840063	0,251507208957
5,4943844	0	 	 	 
5,5646876	1	61,2612	10,8117301247	-0,217174337466
5,5669844	0	 	 	 
5,637384	1	62,0466	10,8394356168	0,979398933768
5,639708	0	 	 	 
5,709606	1	62,832	10,8179513429	-1,57434988911
5,712184	0	 	 	 
5,7825952	1	63,6174	11,004319788	6,68109020422
5,784984	0	 	 	 
5,8524844	1	64,4028	10,8154796192	-12,0850773361
5,8593236	0	 	 	 
5,9283152	1	65,1882	10,5490118977	5,05712242842
5,9312316	0	 	 	 
6,0014844	1	65,9736	10,73173762	-0,0625147990829
6,00409	0	 	 	 
6,0746848	1	66,759	10,7433105269	0,378712714403
6,0769832	0	 	 	 
