50,0.08,0.09
100,0.17,0.24
150,0.26,0.38
200,0.36,0.62
250,0.44,0.77
300,0.53,0.91
350,0.61,1.05
400,0.69,1.16
450,0.77,1.31
500,0.84,1.37
550,0.93,1.53
600,1.01,1.69
650,1.1,1.86
700,1.19,1.97
750,1.27,2.11
800,1.35,2.27
850,1.44,2.45
900,1.52,2.54
950,1.61,2.7
1000,1.69,2.87
1050,1.77,2.98
1100,1.88,3.12
1150,1.97,3.25
1200,2.04,3.41
1250,2.14,3.57
1300,2.23,3.72
1350,2.32,3.87
1400,2.4,4.02
1450,2.48,4.15
1500,2.57,4.26
1550,2.66,4.4
1600,2.74,4.53
1650,2.82,4.68
1700,2.91,4.82
1750,2.99,4.98
1800,3.07,5.11
1850,3.16,5.27
1900,3.25,5.44
1950,3.34,5.6
2000,3.42,5.73
